date,AAPL,Return
2016-04-05,25.57197189331055,-1.1789029573185394
2016-04-06,25.83977508544922,1.0472528018409255
2016-04-07,25.27621459960937,-2.180980616031747
2016-04-08,25.30415916442871,0.11055676358979749
2016-04-11,25.38799285888672,0.3313040117762789
2016-04-12,25.718679428100586,1.302531362175463
2016-04-13,26.09127998352051,1.4487546161208398
2016-04-14,26.10524940490723,0.053540575224908515
2016-04-15,25.58128547668457,-2.0071209437446114
2016-04-18,25.02937126159668,-2.157492107231751
2016-04-19,24.89663124084473,-0.530337016318172
2016-04-20,24.947864532470703,0.2057840321060045
2016-04-21,24.67772674560547,-1.0828092581376625
2016-04-22,24.610197067260746,-0.27364626831662964
2016-04-25,24.470468521118164,-0.5677668722468887
2016-04-26,24.30046844482422,-0.6947152489018893
2016-04-27,22.7797966003418,-6.257788190113301
2016-04-28,22.083505630493164,-3.0566162730276014
2016-04-29,21.829669952392575,-1.1494356120257065
2016-05-02,21.80638313293457,-0.10667508720374475
2016-05-03,22.165010452270508,1.6445979012186474
2016-05-04,21.93446159362793,-1.040147755125298
2016-05-05,21.84543800354004,-0.4058617518733709
2016-05-06,21.723604202270508,-0.5577082100610142
2016-05-09,21.7400016784668,0.07548230046734439
2016-05-10,21.887601852416992,0.6789335904071603
2016-05-11,21.674400329589844,-0.9740743835926713
2016-05-12,21.165979385375977,-2.3457209264506007
2016-05-13,21.20815658569336,0.19926883395966488
2016-05-16,21.99538230895996,3.7119007495335588
2016-05-17,21.904010772705078,-0.4154123577914004
2016-05-18,22.154695510864254,1.1444695711689379
2016-05-19,22.070350646972656,-0.38070874795023135
2016-05-20,22.3093318939209,1.0828158137171418
2016-05-23,22.59282875061035,1.270754579462352
2016-05-24,22.93724250793457,1.5244384009015066
2016-05-25,23.340221405029297,1.7568759494752895
2016-05-26,23.52531242370605,0.793013122989783
2016-05-27,23.511253356933594,-0.05976144554106222
2016-05-31,23.39645195007324,-0.48828280278175873
2016-06-01,23.06844520568848,-1.401950796149376
2016-06-02,22.89506721496582,-0.7515807380026884
2016-06-03,22.94192314147949,0.20465511664031766
2016-06-06,23.108264923095703,0.725055962355059
2016-06-07,23.20198631286621,0.4055751917437789
2016-06-08,23.18090057373047,-0.09087902583603258
2016-06-09,23.347248077392575,0.7176058718383782
2016-06-10,23.155132293701172,-0.8228626476857959
2016-06-13,22.80603408813477,-1.5076493674854419
2016-06-14,22.834148406982425,0.12327579069209005
