date,AMZN,Return
2016-04-05,586.1400146484375,-1.1884872914163958
2016-04-06,602.0800170898438,2.719487160583456
2016-04-07,591.4299926757812,-1.7688719292726973
2016-04-08,594.5999755859375,0.5359861605622074
2016-04-11,595.9299926757812,0.22368266808843185
2016-04-12,603.1699829101562,1.2149061673950579
2016-04-13,614.8200073242188,1.931466210877053
2016-04-14,620.75,0.9645087350994563
2016-04-15,625.8900146484375,0.8280329679319465
2016-04-18,635.3499755859375,1.511441421990667
2016-04-19,627.9000244140625,-1.172574401219495
2016-04-20,632.989990234375,0.8106331617142803
2016-04-21,631.0,-0.31437941595856556
2016-04-22,620.5,-1.6640253565768592
2016-04-25,626.2000122070312,0.9186159882403233
2016-04-26,616.8800048828125,-1.4883435232411646
2016-04-27,606.5700073242188,-1.671313298694499
2016-04-28,602.0,-0.7534179516027417
2016-04-29,659.5900268554688,9.566449643765562
2016-05-02,683.8499755859375,3.678034497599314
2016-05-03,671.3200073242188,-1.8322685836148156
2016-05-04,670.9000244140625,-0.06256076171932134
2016-05-05,659.0900268554688,-1.7603215276237538
2016-05-06,673.9500122070312,2.2546214850890367
2016-05-09,679.75,0.8605961403539641
2016-05-10,703.0700073242188,3.4306741190465173
2016-05-11,713.22998046875,1.4450869811953204
2016-05-12,717.9299926757812,0.6589756930776014
2016-05-13,709.9199829101562,-1.1157090311509466
2016-05-16,710.6599731445312,0.10423572405182657
2016-05-17,695.27001953125,-2.1655861023357925
2016-05-18,697.4500122070312,0.31354619278003426
2016-05-19,698.52001953125,0.15341706294229596
2016-05-20,702.7999877929688,0.6127194843450479
2016-05-23,696.75,-0.8608406229442034
2016-05-24,704.2000122070312,1.06925184169806
2016-05-25,708.3499755859375,0.5893160049656787
2016-05-26,714.9099731445312,0.9260955438259666
2016-05-27,712.239990234375,-0.3734712076280511
2016-05-31,722.7899780273438,1.4812405843003917
2016-06-01,719.4400024414062,-0.46347842219399693
2016-06-02,728.239990234375,1.2231718785591816
2016-06-03,725.5399780273438,-0.37075857454110794
2016-06-06,726.72998046875,0.1640161090284309
2016-06-07,723.739990234375,-0.41143069843443403
2016-06-08,726.6400146484375,0.40069976140511
2016-06-09,727.6500244140625,0.13899726759663
2016-06-10,717.9099731445312,-1.3385626252640281
2016-06-13,715.239990234375,-0.3719105472879014
2016-06-14,719.2999877929688,0.5676412971908018
