date,NFLX,Return
2016-04-05,104.94000244140624,0.5654086975683592
2016-04-06,104.83000183105469,-0.10482238211588779
2016-04-07,104.4499969482422,-0.36249630465990945
2016-04-08,103.80999755859376,-0.612732798800919
2016-04-11,102.68000030517578,-1.0885244966701513
2016-04-12,106.9800033569336,4.1877707820196175
2016-04-13,109.6500015258789,2.495791816379911
2016-04-14,110.41999816894531,0.702231310853807
2016-04-15,111.51000213623048,0.9871436201415618
2016-04-18,108.4000015258789,-2.78898802867219
2016-04-19,94.33999633789062,-12.970484308186714
2016-04-20,96.7699966430664,2.5757901203137923
2016-04-21,94.9800033569336,-1.8497399485660426
2016-04-22,95.9000015258789,0.9686230116122241
2016-04-25,93.55999755859376,-2.44004580818874
2016-04-26,92.43000030517578,-1.2077781989148773
2016-04-27,91.04000091552734,-1.5038400790426065
2016-04-28,90.27999877929688,-0.8348002291164835
2016-04-29,90.02999877929688,-0.2769162642670908
2016-05-02,93.11000061035156,3.4210839418149064
2016-05-03,91.54000091552734,-1.686177300539804
2016-05-04,90.79000091552734,-0.8193139529156235
2016-05-05,89.37000274658203,-1.5640468714902878
2016-05-06,90.83999633789062,1.6448400426672505
2016-05-09,90.54000091552734,-0.330245964836251
2016-05-10,92.88999938964844,2.595536172253432
2016-05-11,90.0199966430664,-3.08967893792651
2016-05-12,87.73999786376953,-2.532769233859422
2016-05-13,87.87999725341797,0.15956165153525603
2016-05-16,89.12000274658203,1.4110213153378792
2016-05-17,88.62999725341797,-0.5498266136250263
2016-05-18,90.5,2.109898233704288
2016-05-19,89.55000305175781,-1.049720384797992
2016-05-20,92.48999786376952,3.2830761717701495
2016-05-23,94.88999938964844,2.594876831345516
2016-05-24,97.88999938964844,3.161555505634528
2016-05-25,100.1999969482422,2.359789123502676
2016-05-26,102.80999755859376,2.6047911076282126
2016-05-27,103.3000030517578,0.4766126882599808
2016-05-31,102.56999969482422,-0.706682802872538
2016-06-01,101.51000213623048,-1.0334382000073528
2016-06-02,101.25,-0.2561344998116999
2016-06-03,99.58999633789062,-1.6395097897376587
2016-06-06,100.73999786376952,1.1547359857079886
2016-06-07,99.88999938964844,-0.843754707311517
2016-06-08,97.86000061035156,-2.0322342493749646
2016-06-09,97.08999633789062,-0.7868427014698809
2016-06-10,93.75,-3.4401034749932835
2016-06-13,93.8499984741211,0.10666503906249236
2016-06-14,94.12000274658205,0.2876976844441881
